,year,brazil_production_tonnes,notbr_production_tonnes,total_production_tonnes
0,1961,2228704,1804670,4033374
1,1962,2190303,1962300,4152603
2,1963,1650527,1958290,3608817
3,1964,1042013,2076920,3118933
4,1965,2294047,2123357,4417404
5,1966,1202868,2207364,3410232
6,1967,1507500,2307368,3814868
7,1968,1057700,2218281,3275981
8,1969,1283500,2372994,3656494
9,1970,754800,2401204,3156004
10,1971,1551462,2436986,3988448
11,1972,1495705,2407464,3903169
12,1973,872897,2567360,3440257
13,1974,1615309,2555025,4170334
14,1975,1272298,2602194,3874492
15,1976,375985,2394133,2770118
16,1977,975385,2657006,3632391
17,1978,1267661,2779918,4047579
18,1979,1332772,2897212,4229984
19,1980,1061195,3045180,4106375
20,1981,2032210,3161117,5193327
21,1982,957931,3216447,4174378
22,1983,1671588,3196478,4868066
23,1984,1420281,3268089,4688370
24,1985,1910646,3193958,5104604
25,1986,1041406,3422303,4463709
26,1987,2202708,3395952,5598660
27,1988,1348014,3573641,4921655
28,1989,1532335,3610742,5143077
29,1990,1464856,3718375,5183231
30,1991,1520382,3745361,5265743
31,1992,1294373,3907132,5201505
32,1993,1278759,3713343,4992102
33,1994,1307289,3819590,5126879
34,1995,930135,3898834,4828969
35,1996,1369196,4045876,5415072
36,1997,1228513,3853981,5082494
37,1998,1689366,3942759,5632125
38,1999,1631852,3971410,5603262
39,2000,1903562,4092615,5996177
40,2001,1819569,4099448,5919017
41,2002,2610524,4120996,6731520
42,2003,1987074,3818306,5805380
43,2004,2465710,4030390,6496100
44,2005,2140169,3833424,5973593
45,2006,2573368,4122779,6696147
46,2007,2249011,4138356,6387367
47,2008,2796927,4156937,6953864
48,2009,2440056,3814817,6254873
49,2010,2907265,4057668,6964933
50,2011,2700540,4018013,6718553
51,2012,3037534,4029118,7066652
52,2013,2964538,4115062,7079600
53,2014,2804070,4074578,6878648
54,2015,2647504,4251640,6899144
55,2016,3024466,4344761,7369227
56,2017,2684508,4458196,7142704
57,2018,3556638,4576009,8132647
